UF,Cod.Item,Produto,CFOP,NCM,ID utilização,Utilização,Valor,ICMS
AL,16100,KIT TERR LATA CHA BRANCO,5405,3304.99.90,10,Vda/Dev Vda Mer,8274.0,0.0
AL,16102,LENCOS UMEDECIDOS BB PELE SENSIVEL,5102,3401.11.90,10,Vda/Dev Vda Mer,2656.5,531.3
AL,16103,SAB LIQ CREM BEBE PELE SENSIVEL,5405,3401.30.00,10,Vda/Dev Vda Mer,3074.63,0.0
AL,16106,TALCO GEL BEBE PELE SENSIVEL,5405,3304.91.00,10,Vda/Dev Vda Mer,911.4,0.0
AL,16108,REPELENTE BEBE PELE SENSIVEL,5102,3808.91.99,10,Vda/Dev Vda Mer,6800.1,1299.89
AL,16117,BALM LABIAL GOIABA 13 GR,5405,3304.10.00,10,Vda/Dev Vda Mer,1521.2,0.0
AL,16118,BALM LABIAL GUARANA 13 GR,5405,3304.10.00,10,Vda/Dev Vda Mer,2170.6,0.0
AL,16122,ESMALTE PINK AMELIA,5405,3304.30.00,10,Vda/Dev Vda Mer,475.7,0.0
AL,16123,ESMALTE PINK ANNIE,5405,3304.30.00,10,Vda/Dev Vda Mer,340.8,0.0
AL,16126,ESMALTE PINK ISABELLA,5405,3304.30.00,10,Vda/Dev Vda Mer,560.9,0.0
AL,16365,SAB TRAD PATCHOULY 90GR,5405,3401.11.90,10,Vda/Dev Vda Mer,267.86,0.0
AL,16366,SAB LIMA DA PERSIA 90GR,5405,3401.11.90,10,Vda/Dev Vda Mer,100.1,0.0
AL,16446,SAB DERMOCALMANTE PELES SENSIVEIS,5405,3401.11.90,10,Vda/Dev Vda Mer,1653.3,0.0
AL,16467,DIFUSOR CARIOCA ED ESPECIAL,5102,3307.49.00,10,Vda/Dev Vda Mer,13468.64,2564.54
AL,16533,DEO COLONIA MEDIT NECTARINA 200 ML,5405,3307.20.10,10,Vda/Dev Vda Mer,18118.07,0.0
AL,16534,SAB MEDIT NECTARINA 100 GR,6108,3401.11.90,10,Vda/Dev Vda Mer,12.0,0.84
AL,16534,SAB MEDIT NECTARINA 100 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,469.38,0.0
AL,16986,REMOVEDOR DE ESMALTES PINK 75ML,5405,3304.30.00,10,Vda/Dev Vda Mer,3753.99,0.0
AL,16987,OLEO SECANTE NUTRITIVO PINK 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,1080.3,0.0
AL,16992,PERFUME ISOLDA CAJUEIRO 100 ML,5405,3303.00.10,10,Vda/Dev Vda Mer,33190.24,0.0
AL,17037,SAB LIQ GLIC AMENDOAS 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,1072.5,0.0
AL,17039,SAB LIQ GLIC TRADIC 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,3148.75,0.0
AL,17040,SAB LIQ GLIC ERVA DOCE 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,1587.5,0.0
AL,17044,SAB LIQ VINTAGE SALOME 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,2110.5,0.0
AL,17045,SAB LIQ VINTAG BENJOIM 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,3432.5,0.0
AL,17047,SAB LIQ VINTAG UM SONHO 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,4188.5,0.0
AL,17048,SAB LIQ VINTAGE CARIOCA 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,6580.75,0.0
AL,17103,SAB LIQ TEMP MENTA 500ML C6,5405,3401.30.00,10,Vda/Dev Vda Mer,26.5,0.0
AL,17112,HIDRATANTE VINTAGE CARIOCA 300ML,5405,3304.99.90,10,Vda/Dev Vda Mer,6213.89,0.0
AL,17113,HIDRATANTE VINTAGE UM SONHO 300ML,5405,3304.99.90,10,Vda/Dev Vda Mer,8434.25,0.0
AL,17114,HIDRATANTE VINTAGE BENJOIM 300ML CX12,5405,3304.99.90,10,Vda/Dev Vda Mer,3682.25,0.0
AL,17115,HIDRATANTE VINTAGE SALOME 300ML CX12,5405,3304.99.90,10,Vda/Dev Vda Mer,2040.5,0.0
AL,17141,COLONIA VINT FANT CIRCO 100ML,5405,3303.00.20,10,Vda/Dev Vda Mer,32826.33,0.0
AL,17178,COLONIA AGUAS ROSMARINO 260 ML,5405,3303.00.20,10,Vda/Dev Vda Mer,12668.4,0.0
AL,17180,DIFUSOR AGUAS ROSMARINO 250 ML,5102,3307.49.00,10,Vda/Dev Vda Mer,8277.5,1585.56
AL,17182,SAB AGUAS ROSMARINO 150G,5405,3401.11.90,10,Vda/Dev Vda Mer,15193.42,0.0
AL,17210,COLONIA AGUAS LAVANDA 260 ML,5405,3303.00.20,10,Vda/Dev Vda Mer,54018.9,0.0
AL,17213,COLONIA AGUAS NEROLI 260 ML,5405,3303.00.20,10,Vda/Dev Vda Mer,8091.9,0.0
AL,17217,DIFUSOR AGUAS LAVANDA 250 ML NOVO,5102,3307.49.00,10,Vda/Dev Vda Mer,12206.25,2325.24
AL,17218,DIFUSOR AGUAS NEROLI 250 ML NOVO,5102,3307.49.00,10,Vda/Dev Vda Mer,2117.5,402.34
AL,17220,KIT TUBO AGUAS PHEBO 6X50G,5405,3401.11.90,10,Vda/Dev Vda Mer,5250.0,0.0
AL,17229,PERFUME BRONZE 100 ML,5405,3303.00.10,10,Vda/Dev Vda Mer,14437.5,0.0
AL,17230,PERFUME ZIMBRO 100 ML,5405,3303.00.10,10,Vda/Dev Vda Mer,4950.0,0.0
AL,17239,COLONIA BAUNILHA 300ML,5405,3303.00.20,10,Vda/Dev Vda Mer,14253.4,0.0
AL,17240,COLONIA LIMAO E NEROLI 300ML,5405,3303.00.20,10,Vda/Dev Vda Mer,48319.34,0.0
AL,17263,SAB LIQ TERR GENGIBRE 300ML,5405,3401.30.00,10,Vda/Dev Vda Mer,5676.1,0.0
AL,17264,HIDRAT TERR GENGIBRE 300ML,5405,3304.99.90,10,Vda/Dev Vda Mer,4653.73,0.0
AL,17298,KIT LATA ESMALTE+GLOSS PINK BESSIE,5405,3304.30.00,10,Vda/Dev Vda Mer,139.0,0.0
AL,17299,TRIO ODOR DE ROSAS CX6,5405,3401.11.90,10,Vda/Dev Vda Mer,65.5,0.0
